"","SAMPLE_SIZE","EFFECT_SIZE","NUM_CHUNKS","ESTIMATE_OVERALL","VI_OVERALL","ESTIMATE_CHUNKS","VI_CHUNKS"
"104",144,5,8,0.718180115468972,0.0295686898550522,0.73656689336485,0.030560120707682
"105",144,5,12,0.718180115468972,0.0295686898550522,0.764900990634341,0.0321361752220097
"106",144,5,4,0.364766657499129,0.0282397733139691,0.366067040191337,0.0283447062090876
"107",144,5,8,0.364766657499129,0.0282397733139691,0.374134593434609,0.0287454022845508
"108",144,5,12,0.364766657499129,0.0282397733139691,0.39039989817929,0.0297751098892694
"109",144,5,4,0.655897501965693,0.029271533100989,0.655181329393234,0.0293571898329064
"110",144,5,8,0.655897501965693,0.029271533100989,0.621686264724105,0.0294642970642902
"111",144,5,12,0.655897501965693,0.029271533100989,0.627048172043672,0.0295479071294669
"112",144,5,4,0.600267876668864,0.0290288941797241,0.585548164596883,0.0290924628664932
"113",144,5,8,0.600267876668864,0.0290288941797241,0.594371483712107,0.02940696149956
"114",144,5,12,0.600267876668864,0.0290288941797241,0.607214880012209,0.0301276961243542
"115",144,5,4,0.297729786655442,0.0280855660620205,0.280955321562561,0.0286416841634491
"116",144,5,8,0.297729786655442,0.0280855660620205,0.296528303308419,0.0290313485544346
"117",144,5,12,0.297729786655442,0.0280855660620205,0.286068137469559,0.0294299534439121
"118",144,5,4,0.245885030263354,0.0279877064170403,0.233867831021087,0.0279899938099112
"119",144,5,8,0.245885030263354,0.0279877064170403,0.231164583486043,0.0279889693078657
"120",144,5,12,0.245885030263354,0.0279877064170403,0.259941588968694,0.0292651554237775
"121",144,5,4,0.711262762449767,0.02953435665711,0.729214881099527,0.029671665906252
"122",144,5,8,0.711262762449767,0.02953435665711,0.729857575354303,0.0297394070700291
"123",144,5,12,0.711262762449767,0.02953435665711,0.716775998206859,0.0299073912041634
"124",144,5,4,0.602311972400819,0.0290374295558936,0.617121659514964,0.0292084822620601
"125",144,5,8,0.602311972400819,0.0290374295558936,0.667833180752524,0.030304949684369
"126",144,5,12,0.602311972400819,0.0290374295558936,0.658626945324387,0.0302553393025687
"127",144,5,4,0.537330992815228,0.0287802937355549,0.571963963660081,0.0292771043487101
"128",144,5,8,0.537330992815228,0.0287802937355549,0.564178829718269,0.0296303550771137
"129",144,5,12,0.537330992815228,0.0287802937355549,0.51634822726548,0.0301756594057677
"130",144,5,4,0.46082819611587,0.028515148008109,0.516448997162717,0.0296469704098623
"131",144,5,8,0.46082819611587,0.028515148008109,0.51526694588766,0.0304714310241347
"132",144,5,12,0.46082819611587,0.028515148008109,0.508227589860481,0.0307953116791072
